n,accept_boundary,reject_boundary,accept_tail_prob_at_p0,reject_tail_prob_at_p0
10,,4.0,,0.0127951984
20,,5.0,,0.04317449528446339
22,0.0,6.0,0.0984770902183611,0.018215981058799055
40,1.0,8.0,0.0804736960144773,0.041901942673363744
60,2.0,11.0,0.053045081815992726,0.034209123078733056
80,4.0,14.0,0.0879712334157049,0.02674880882142095
100,5.0,16.0,0.05757688648703396,0.0398905271110835
160,10.0,23.0,0.06703445140461256,0.048718509673628486
200,14.0,28.0,0.09294617949910408,0.043428499610610904
