mixture,prior_a,prior_b,earliest_accept_n,earliest_accept_k,earliest_reject_n,earliest_reject_k,true_p,accept_prob,reject_prob,unresolved_prob,stop_prob,expected_tau_if_converged,truncated_expected_n,conditional_expected_n_given_stopped,horizon,converged
uniform,1.0,1.0,34,0,2,2,0.05,0.9963957758634047,0.003604136142392039,8.799419673156844e-08,0.9999999120057967,161.2973542635286,161.2974942622956,161.29736845676203,1591,True
uniform,1.0,1.0,34,0,2,2,0.08,0.9875783511897004,0.012405412031306733,1.623677904620723e-05,0.9999837632210071,,1292.2152455601022,1292.0738568872969,10000,False
uniform,1.0,1.0,34,0,2,2,0.12,0.021583269148560572,0.9752943636686684,0.003122367182776148,0.996877632817229,,2843.0692062593075,2820.652647692698,10000,False
uniform,1.0,1.0,34,0,2,2,0.2,0.0005443416557590041,0.9994555590789723,9.926527387650757e-08,0.9999999007347313,103.3678434224402,103.36793573914491,103.36785368327797,930,True
jeffreys_type,0.5,0.5,29,0,2,2,0.05,0.9969314340412074,0.00306846832286593,9.76359195035986e-08,0.9999999023640733,168.5354601907206,168.53562343797802,168.53547664583806,1672,True
jeffreys_type,0.5,0.5,29,0,2,2,0.08,0.9897509781516567,0.010210120149207219,3.8901699197669915e-05,0.9999610983008639,,1474.2763259354106,1473.9446478946695,10000,False
jeffreys_type,0.5,0.5,29,0,2,2,0.12,0.031091250920158485,0.9660986783293878,0.002810070750460099,0.9971899292495463,,2794.784447038581,2774.4802252627032,10000,False
jeffreys_type,0.5,0.5,29,0,2,2,0.2,0.0015783672736720837,0.9984215337516968,9.897463760138192e-08,0.999999901025369,107.20491526524995,107.20500691576437,107.20492587581793,926,True
